evMarketShare,description,id,chargingDensity,name
20.0,France has a strong network of public chargers with 20% BEV market share and is home to Renault and Stellantis manufacturing sites.,FRA,11.9,France
68.5,Denmark has achieved remarkable EV adoption with 68.5% BEV market share in 2025.,DNK,56.0,Denmark
19.1,"Germany is a major hub for EV manufacturing with 19.1% BEV share, with significant investments from Volkswagen, BMW, and Mercedes-Benz.",DEU,22.4,Germany
26.9,Luxembourg shows strong EV adoption with 26.9% BEV market share and high charging density.,LUX,64.5,Luxembourg
21.3,Austria has a well-developed charging network with 21.3% BEV share and significant contract manufacturing at Magna Steyr.,AUT,15.7,Austria
37.2,Finland demonstrates strong environmental commitment with a 37.2% BEV market share.,FIN,3.5,Finland
7.5,Lithuania is participating in the European EV transition with 7.5% BEV market share.,LTU,4.0,Lithuania
6.2,Italy is focusing on urban charging infrastructure with 6.2% BEV share and has a rich history of automotive engineering.,ITA,12.9,Italy
36.5,"Sweden is home to Northvolt, a major player in the European battery manufacturing sector, with 36.5% BEV market share.",SWE,6.1,Sweden
7.1,Latvia shows steady EV adoption with 7.1% BEV market share.,LVA,1.6,Latvia
41.2,Iceland demonstrates strong commitment to electric mobility with a 41.2% BEV market share.,ISL,1.9,Iceland
8.8,Spain is a major vehicle exporter with 8.8% BEV share and is transitioning its manufacturing base towards electric models.,ESP,4.7,Spain
6.7,Estonia is building its EV infrastructure with 6.7% BEV market share.,EST,2.1,Estonia
23.2,Portugal is expanding its EV infrastructure with 23.2% BEV share and is home to key manufacturing sites like Daimler Truck Tramagal.,PRT,8.7,Portugal
95.9,"Norway leads the world in EV adoption with an astonishing 95.9% BEV market share, supported by extensive charging infrastructure and strong government incentives.",NOR,4.2,Norway
18.9,Ireland is building out its EV infrastructure with 18.9% BEV market share.,IRL,2.9,Ireland
34.7,Belgium has a growing EV market with 34.7% BEV share and the second-highest charging density in Europe at 184 points per 100km².,BEL,184.3,Belgium
1.5,"Serbia is attracting new investments in EV manufacturing, including Stellantis and JMEV.",SRB,5.2,Serbia
1.8,"Croatia is home to Rimac, a leader in high-performance electric hypercars and battery systems, with 1.8% BEV market share.",HRV,1.9,Croatia
10.1,Cyprus shows growing EV adoption with 10.1% BEV market share.,CYP,4.7,Cyprus
7.3,Poland is a key manufacturer of electric buses and battery components with 7.3% BEV share in the European supply chain.,POL,2.0,Poland
4.7,Slovakia is one of the world's largest car producers per capita with 4.7% BEV share and is transitioning to EV production.,SVK,4.7,Slovakia
40.2,The Netherlands has the highest charging point density in Europe at 291 points per 100km² and a 40.2% BEV market share.,NLD,291.0,Netherlands
22.8,Switzerland demonstrates solid EV adoption with 22.8% BEV market share.,CHE,28.3,Switzerland
4.9,Bulgaria is in the early stages of EV adoption with 4.9% BEV market share.,BGR,1.8,Bulgaria
37.9,Malta has achieved impressive EV adoption with 37.9% BEV market share.,MLT,35.1,Malta
5.6,"The Czech Republic is a major automotive hub with 5.6% BEV share, with Skoda and Hyundai producing EVs locally.",CZE,5.2,Czech Republic
18.5,The UK is rapidly expanding its charging network and has several key battery gigafactory projects underway.,GBR,58.9,United Kingdom
8.5,Hungary is becoming a key location for battery and EV manufacturing in Central Europe with 8.5% BEV share.,HUN,2.9,Hungary
11.2,Slovenia has a strong automotive supply chain with 11.2% BEV share and Renault manufacturing presence.,SVN,7.3,Slovenia
6.2,Greece is developing its EV market with 6.2% BEV market share.,GRC,5.1,Greece
5.6,Romania is participating in the European automotive transition with 5.6% BEV market share.,ROU,1.5,Romania
