brands,sourceUrl,type,produces,id,source,evConversionPlans,investmentAmount,countryId,manufacturer,location.lat,location.lng,city,name
Mercedes-Benz minibuses,https://www.sustainable-bus.com/news/investment-company-resvion-takes-over-tremonia/,ev,"LCVs, Buses",aequita-dortmund,Sustainable Bus,"The Dortmund facility produces the City 45 Electric and City 75 Electric minibuses. Under the ownership of RESVION, the site has expanded across Europe and scaled production to 1,200 units annually through 2026.",No data available.,DEU,AEQUITA,51.513587,7.465298,Dortmund,AEQUITA Dortmund
"Truston trucks, UpCity electric buses",https://www.romania-insider.com/romanian-truck-producer-atp-build-second-assembly-plant-trucks-and-buses,ev,"HDVs, Buses",atp-exodus-baia-mare,Romania Insider,"ATP Trucks Automobile is constructing a second assembly plant in Baia Mare. The facility features two production halls totaling 31,000 sqm and is dedicated to the assembly of electric and hydrogen trucks and buses.",€25m for initial electric vehicle program,ROU,ATP EXODUS GROUP,47.65396889,23.50364299,Baia Mare,ATP EXODUS GROUP Baia Mare
Gillet sports cars,https://www.automobile-propre.com/tensity-e-truck-linattendu-utilitaire-electrique-belge-imagine-grace-a-la-dacia-spring/,ev,Cars,automobiles-gillet-gembloux,Automobile Propre,"Automobiles Gillet is developing the Tensity E-Truck, a compact electric light commercial vehicle for urban deliveries. The van features a 45 kWh battery with an estimated 250 km range and utilizes Dacia Spring powertrain components.",No data available.,BEL,AUTOMOBILES GILLET,50.4975755,4.724683631,Gembloux,AUTOMOBILES GILLET Gembloux
Autosan,https://korsosanockie.pl/wiadomosci/autosan-zycie-po-zyciu-z-fabrycznych-hal-powialo-zefirkiem-optymizmu/,ev,Buses,autosan-sanok,Korso Sanockie,"Autosan is expanding its zero-emission lineup with a new series of electric and intercity buses that were planned for a 2025 launch. This follows the 2024 completion of the Autoelektrosan project, which introduced an innovative external battery and drivetrain module.",No data available.,POL,AUTOSAN,49.54747528,22.21807202,Sanok,AUTOSAN Sanok
Ayats buses and coaches,https://www.mintur.gob.es/portalayudas/perte-vec-b/Paginas/Resolucion.aspx,ev,Buses,ayats-arbcies,Ministry of Industry and Tourism (MINTUR) - PERTE VEC II Resolutions,Carrocerías Ayats manufactures lightweight electric buses at its Arbúcies site using an industrial process supported by the PERTE VEC II program. The facility also features a dedicated workshop for converting diesel buses into electric vehicles.,"€886,822 total eligible investment budget",ESP,AYATS,41.80951676,2.523983111,Arbúcies,AYATS Arbúcies
Beulas,https://mobilityportal.eu/fabricacion-de-cargadores-autobuses-y-mas-los-proyectos-aprobados-del-moves-singulares-ii/,ev,Buses,beulas-sau-arbcies,Mobility Portal,"Beulas produces zero-emission buses, including the 12-meter electric intercity model and the Jewel E electric double-decker. The company also develops green hydrogen intercity coaches through the Future BusH project.","€1,927,046 investment in the plant",ESP,BEULAS S.A.U.,41.82526049,2.514196468,Arbúcies,BEULAS S.A.U. Arbúcies
Euro Bus Diamond,https://green-forum.eu/2023/12/05/100-electric-busses-to-be-put-into-circulation-in-bucharest/,ev,Buses,bmc-ciorogrla,Green Forum / Business Review,The Ciorogârla plant produces EuroBus Diamond electric buses and minibuses with an initial capacity of 200 units per year. A second facility was planned to increase total production capacity to 700-800 electric vehicles annually for domestic and European markets.,€5 million in plant investment,ROU,BMC GROUP,44.44267165,25.91881966,Ciorogârla (Bucharest),BMC GROUP Ciorogârla (Bucharest)
BMW,https://www.bmwgroup-werke.com/dingolfing/en.html,ev,"Cars, Batteries",bmw-dingolfing,BMW Group,"BMW Group Plant Dingolfing produces electric models including the i5, iX, and i7, with a target set in 2024 for EVs to reach 40% of total output. A new facility in Irlbach-Straßkirchen is scheduled to begin supplying 6th-generation batteries for Neue Klasse models in late 2026.",Over €1 billion for plant expansion,DEU,BMW GROUP,48.643481,12.485198,Dingolfing,BMW GROUP Dingolfing
Electric motors and range extender; Hydrogen-electric drive train,https://www.electrive.com/2024/04/19/germany-bmw-expands-production-of-ev-components-in-landshut/,ev,Engines/Electric motors,bmw-ergolding,electrive,"The Landshut plant manufactures aluminum housings for Neue Klasse electric drive units in a 12,000-square-meter facility. As of mid-2026, the site has begun series production of the Energy Master central control unit interface.",€500m investment in EV production,DEU,BMW GROUP,48.56113204,12.15212686,Ergolding (Landshut),BMW GROUP Ergolding (Landshut)
"BMW, Mini; Battery modules",https://www.press.bmwgroup.com/global/article/detail/T0408253EN/,ev,"Cars, Batteries",bmw-leipzig,BMW Group PressClub,"The Leipzig plant produces up to 300,000 high-voltage batteries annually for the MINI Countryman Electric and BMW iX1, i4, i5, and iX models. The facility manages the full process chain from cell coating to final assembly and operates a dedicated battery logistics center.",€800m to €1b plant investment,DEU,BMW GROUP,51.4025447,12.4532071,Leipzig,BMW GROUP Leipzig
BMW; Battery modules,https://www.press.bmwgroup.com/global/article/detail/T0436979EN/new-battery-testing-centre:-bmw-group-to-invest-more-than-100-million-euros-in-wackersdorf-site-by-2026,ev,"Cars, Batteries",bmw-regensburg,BMW Group,BMW Group Regensburg assembles the fully electric iX1 and iX2 models. The site has expanded with a new battery testing center in Wackersdorf and a high-voltage battery assembly plant in Irlbach-Straszkirchen to support the production of Neue Klasse electric vehicles starting in 2026.,€100 million in plant investment,DEU,BMW GROUP,49.01343,12.101624,Regensburg,BMW GROUP Regensburg
Diesel and petrol engines for BMW and MINI,https://www.electrive.com/2024/09/05/bmw-plant-steyr-pre-series-start-for-electric-motors-of-the-neue-klasse/,ev,Engines/Electric motors,bmw-steyr,electrive.com,"The BMW Steyr plant produces sixth-generation electric drives for Neue Klasse vehicles. The facility manufactures rotors, stators, transmissions, and inverters with an annual capacity of 600,000 units. Full series production commenced in August 2025.",€1 billion in plant investment,AUT,BMW GROUP,48.0541873,14.4504287,Steyr,BMW GROUP Steyr
"EV Bluebus, Bluesolutions (Lithium-ion polymer batteries)",https://presse.economie.gouv.fr/blue-solutions-produira-en-france-les-batteries-solides-du-futur/,ev,"Buses, Batteries",bollore-ergu-gabric,"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique","Blue Solutions is expanding its Ergué-Gabéric facility to include an advanced R&D center and a pilot line for 4th generation solid-state lithium-metal batteries. Construction commenced in 2026, creating 230 new jobs at the site.",€2.2bn for global solid-state battery project,FRA,BOLLORE,48.01034178,-4.012228085,Ergué-Gabéric,BOLLORE Ergué-Gabéric
